Sample,Control
SLX-9394.FastSeqC,0
SLX-9394.FastSeqD,0
SLX-9394.FastSeqE,1
SLX-9394.FastSeqG,1
SLX-9394.FastSeqH,1
SLX-9394.FastSeqI,1
SLX-9394.FastSeqJ,1
SLX-9394.FastSeqK,1
SLX-9395.FastSeqA,1
SLX-9395.FastSeqC,1
SLX-9395.FastSeqD,1
SLX-9395.FastSeqE,1
SLX-9395.FastSeqF,1
SLX-9395.FastSeqG,1
SLX-9395.FastSeqH,1
SLX-9396.FastSeqB,0
SLX-9396.FastSeqC,0
SLX-9396.FastSeqD,0
SLX-9396.FastSeqE,0
SLX-9396.FastSeqF,0
SLX-9396.FastSeqG,0
SLX-9396.FastSeqH,0
SLX-9396.FastSeqJ,0
SLX-9396.FastSeqK,0
